Linux 5.4.0-90-generic (atsushi-HP-EliteBook-Folio-G1) 	2021年12月24日 	_x86_64_	(4 CPU)

20時20分05秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20時20分06秒  all   38.14    0.00   18.56    1.29    0.00    0.52    0.00    0.00    0.00   41.49
20時20分07秒  all   43.69    0.00   17.68    0.76    0.00    1.01    0.00    0.00    0.00   36.87
20時20分08秒  all   41.73    0.00   17.05    0.51    0.00    0.51    0.00    0.00    0.00   40.20
20時20分09秒  all   39.90    0.00   19.70    0.76    0.00    0.25    0.00    0.00    0.00   39.39
20時20分10秒  all   42.71    0.00   20.20    0.51    0.00    0.00    0.00    0.00    0.00   36.57
20時20分11秒  all   42.20    0.00   19.18    0.51    0.00    0.26    0.00    0.00    0.00   37.85
20時20分12秒  all   38.21    0.00   20.26    0.51    0.00    0.51    0.00    0.00    0.00   40.51
20時20分13秒  all   41.58    0.00   18.88    0.77    0.00    0.00    0.00    0.00    0.00   38.78
20時20分14秒  all   44.76    0.00   20.20    0.51    0.00    0.26    0.00    0.00    0.00   34.27
